"Id","LocationNumber","OrganisationId","WasteContainerIsleId","FractionId","WasteContainerChangedTimeStamp","WasteContainerIsleChangedTimestamp","DateCreated","CreatedBy","DateModified","ModifiedBy","IsExcludedFromFractionFillLevelStatistics","DesignatedLocationTypeId"
"8669904f-66d6-4c19-a814-00047f67e605","1211LZ28-2","83f9417c-6184-4063-a61a-e3a997433a5c","228c2b1a-b225-48d2-87fc-98e501cf18ef","7874a277-8a89-4e74-87c9-996695ba1169","3/22/2022 6:32:09 PM","7/20/2023 7:57:52 AM","6/10/2020 8:20:07 AM","F5182E83-F24D-487A-9615-0206F2061775","7/20/2023 8:32:15 AM","f5182e83-f24d-487a-9615-0206f2061775","","3ea1587b-0f31-4405-a02e-def61a24b606"
"85ea7753-fc70-4d66-bcb0-0010916206a1","1251BG81-1","83f9417c-6184-4063-a61a-e3a997433a5c","5152a9e6-a7c4-4b2a-908b-70fe2267594d","f1f46408-750d-4545-ae53-4e5ecd21161f","6/13/2022 11:16:34 AM","7/20/2023 7:20:35 AM","6/10/2020 8:22:18 AM","F5182E83-F24D-487A-9615-0206F2061775","7/20/2023 8:32:15 AM","f5182e83-f24d-487a-9615-0206f2061775","","3ea1587b-0f31-4405-a02e-def61a24b606"
"8e49db99-581e-4cee-9419-0015a7f085ef","1411WZ132-4","83f9417c-6184-4063-a61a-e3a997433a5c","7ea9c836-c550-4c5f-b5d7-e02d65a18ccf","80c25a4d-fe10-44e4-abc5-60bd9cee080c","3/22/2022 6:32:15 PM","10/28/2021 8:49:37 AM","10/28/2021 8:49:37 AM","C6AD9B84-4D39-46BB-978C-FDA1393324B5","7/20/2023 8:32:15 AM","f5182e83-f24d-487a-9615-0206f2061775","","3ea1587b-0f31-4405-a02e-def61a24b606"
"4a7456f3-80da-48fb-9564-0028794727a0","1222AB8-41","83f9417c-6184-4063-a61a-e3a997433a5c","308a514c-ade6-48f7-8dd0-1ca95f9512c7","80c25a4d-fe10-44e4-abc5-60bd9cee080c","1/1/0001 12:00:00 AM","1/30/2024 12:26:37 PM","1/30/2024 12:26:37 PM","","1/30/2024 12:26:37 PM","","","3ea1587b-0f31-4405-a02e-def61a24b606"
"e546ccdd-c8f7-4ec8-aac8-00291acae191","1406KJ1-1","83f9417c-6184-4063-a61a-e3a997433a5c","16a6b8a1-9651-4a92-856b-20eb95c7bc69","80c25a4d-fe10-44e4-abc5-60bd9cee080c","5/17/2023 12:57:14 PM","5/17/2023 12:57:14 PM","5/17/2023 12:57:13 PM","C6AD9B84-4D39-46BB-978C-FDA1393324B5","7/20/2023 8:32:15 AM","","","3ea1587b-0f31-4405-a02e-def61a24b606"
"1d1c8c03-31fc-4da5-8802-0033229dff6e","1222EP1-1","83f9417c-6184-4063-a61a-e3a997433a5c","ddc64fe8-91c1-49a6-b6f3-77da38b1a66c","80c25a4d-fe10-44e4-abc5-60bd9cee080c","1/1/0001 12:00:00 AM","2/27/2024 2:11:42 PM","2/27/2024 2:11:42 PM","","2/27/2024 2:11:42 PM","","","3ea1587b-0f31-4405-a02e-def61a24b606"
"3d0e2b27-faf3-41f5-aa87-00367700c349","1401TV1B-4","83f9417c-6184-4063-a61a-e3a997433a5c","770a5d9a-6be8-4248-b36f-1ba2a02c8b9b","dc8c616d-f059-496d-9505-69f8a267af4f","1/1/0001 12:00:00 AM","3/11/2024 12:56:30 PM","3/11/2024 12:56:30 PM","","3/11/2024 12:56:30 PM","","","3ea1587b-0f31-4405-a02e-def61a24b606"
"7e300547-fff6-41d8-a3d4-00441a559f86","1211KG43A 1-2","83f9417c-6184-4063-a61a-e3a997433a5c","b606aea6-0d5a-490b-b307-23ce330f53fc","895215b7-ab8b-4e87-8ece-0aae33511554","3/22/2022 6:31:57 PM","7/20/2023 7:26:19 AM","6/10/2020 8:22:19 AM","F5182E83-F24D-487A-9615-0206F2061775","7/20/2023 8:32:15 AM","f5182e83-f24d-487a-9615-0206f2061775","","3ea1587b-0f31-4405-a02e-def61a24b606"
"147d482d-bab2-4f58-86d9-005118b1ecc6","1216HS101-1","83f9417c-6184-4063-a61a-e3a997433a5c","0afaeb3b-2f0a-4cd0-835e-9ac83b9e1572","7874a277-8a89-4e74-87c9-996695ba1169","6/28/2022 7:01:23 PM","7/20/2023 7:29:15 AM","4/22/2021 1:37:11 PM","C6AD9B84-4D39-46BB-978C-FDA1393324B5","7/20/2023 8:32:15 AM","f5182e83-f24d-487a-9615-0206f2061775","","3ea1587b-0f31-4405-a02e-def61a24b606"
"520d61fe-8162-4bec-9247-0074cee93804","1222AB8-104","83f9417c-6184-4063-a61a-e3a997433a5c","308a514c-ade6-48f7-8dd0-1ca95f9512c7","80c25a4d-fe10-44e4-abc5-60bd9cee080c","2/13/2025 9:48:36 AM","2/13/2025 9:48:37 AM","2/13/2025 9:48:37 AM","r.markesteijn@gad.nl","2/13/2025 9:48:37 AM","r.markesteijn@gad.nl","","3ea1587b-0f31-4405-a02e-def61a24b606"
